id,user_id,time,usage,created_at,updated_at
58,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 10:00:00 UTC,1.54,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
59,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 11:00:00 UTC,1.477,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
60,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 12:00:00 UTC,1.419,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
61,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 13:00:00 UTC,1.264,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
62,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 14:00:00 UTC,1.309,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
63,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 15:00:00 UTC,1.245,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
64,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 16:00:00 UTC,1.199,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
65,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 17:00:00 UTC,1.278,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
66,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 18:00:00 UTC,1.51,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
67,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 19:00:00 UTC,1.649,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
68,Mountain_Single_family_Jan_1_2011_to_Jan_1_2012_RetailCustomer_1,2011-01-03 20:00:00 UTC,1.585,2014-02-21 01:11:17 UTC,2014-02-21 01:11:17 UTC
